Title

26 atoms
25 bonds
46 angles
97 dihedrals
3 impropers

6 atom types
6 bond types
4 angle types
11 dihedral types
1 improper types
-2.0 2.0 xlo xhi
-8.0 8.0 ylo yhi
-4.0 4.0 zlo zhi

Atoms

1	1	1	-0.47196154	-3.7398106	-1.0228548	1.1624135
2	1	2	0.59713846	-3.9793523	-0.20127233	0.22142576
3	1	3	-0.56506154	-5.3066733	0.10923577	-0.041324326
4	1	4	0.35963846	-2.8960703	0.41912475	-0.58407465
5	1	5	-0.18076154	-2.9612041	1.776995	-0.51351208
6	1	5	-0.18076154	-3.0709427	0.012972847	-1.8931263
7	1	4	0.34763846	-1.5612454	-0.12543892	-0.048786116
8	1	5	-0.18026154	-1.5707034	-1.4910983	-0.19485736
9	1	5	-0.18026154	-1.4981076	0.14118868	1.3061749
10	1	4	0.35163846	-0.42194884	0.54868755	-0.76345062
11	1	5	-0.17726154	-0.6695938	0.23074175	-2.1343849
12	1	5	-0.17726154	-0.38856163	1.8948505	-0.57058112
13	1	4	0.35063846	0.94464904	-0.0024293267	-0.52391962
14	1	5	-0.17676154	1.0908298	-1.3336536	-0.87614544
15	1	5	-0.17676154	1.7572187	0.68872539	-1.486339
16	1	4	0.34963846	1.5829493	0.24235404	0.78708589
17	1	5	-0.17676154	0.77955165	-0.30975436	1.8085695
18	1	5	-0.17676154	1.6596869	1.5846519	1.116232
19	1	4	0.34763846	2.8785705	-0.47356153	0.95293336
20	1	5	-0.17676154	2.6251861	-1.8491071	0.83174609
21	1	5	-0.17676154	3.3630784	-0.31701518	2.2662412
22	1	4	0.60993846	4.0024011	-0.16263429	0.054653854
23	1	5	-0.20126154	5.0847505	-0.97930746	0.48572316
24	1	5	-0.20126154	3.8366217	-0.51295436	-1.2734331
25	1	5	-0.20126154	4.4406035	1.1417301	0.087483667
26	1	6	0.46403846	-5.9818832	-0.010176668	0.70575177

Bonds

1	1	1	2
2	2	2	3
3	3	2	4
4	4	3	26
5	5	4	5
6	5	4	6
7	6	4	7
8	5	7	8
9	5	7	9
10	6	7	10
11	5	10	11
12	5	10	12
13	6	10	13
14	5	13	14
15	5	13	15
16	6	13	16
17	5	16	17
18	5	16	18
19	6	16	19
20	5	19	20
21	5	19	21
22	6	19	22
23	5	22	23
24	5	22	24
25	5	22	25

Angles

1	1	1	2	3
2	2	1	2	4
3	3	2	3	26
4	4	2	4	5
5	4	2	4	6
6	4	2	4	7
7	2	3	2	4
8	4	4	7	8
9	4	4	7	9
10	4	4	7	10
11	4	5	4	6
12	4	5	4	7
13	4	6	4	7
14	4	7	10	11
15	4	7	10	12
16	4	7	10	13
17	4	8	7	9
18	4	8	7	10
19	4	9	7	10
20	4	10	13	14
21	4	10	13	15
22	4	10	13	16
23	4	11	10	12
24	4	11	10	13
25	4	12	10	13
26	4	13	16	17
27	4	13	16	18
28	4	13	16	19
29	4	14	13	15
30	4	14	13	16
31	4	15	13	16
32	4	16	19	20
33	4	16	19	21
34	4	16	19	22
35	4	17	16	18
36	4	17	16	19
37	4	18	16	19
38	4	19	22	23
39	4	19	22	24
40	4	19	22	25
41	4	20	19	21
42	4	20	19	22
43	4	21	19	22
44	4	23	22	24
45	4	23	22	25
46	4	24	22	25

Dihedrals

1	1	1	2	3	26
2	2	1	2	3	26
3	3	1	2	4	5
4	3	1	2	4	6
5	3	1	2	4	7
6	4	2	4	7	8
7	4	2	4	7	9
8	4	2	4	7	10
9	5	3	2	4	5
10	5	3	2	4	6
11	5	3	2	4	7
12	6	4	2	3	26
13	4	4	7	10	11
14	4	4	7	10	12
15	7	4	7	10	13
16	8	4	7	10	13
17	9	4	7	10	13
18	10	5	4	7	8
19	11	5	4	7	8
20	10	5	4	7	9
21	11	5	4	7	9
22	4	5	4	7	10
23	10	6	4	7	8
24	11	6	4	7	8
25	10	6	4	7	9
26	11	6	4	7	9
27	4	6	4	7	10
28	4	7	10	13	14
29	4	7	10	13	15
30	7	7	10	13	16
31	8	7	10	13	16
32	9	7	10	13	16
33	10	8	7	10	11
34	11	8	7	10	11
35	10	8	7	10	12
36	11	8	7	10	12
37	4	8	7	10	13
38	10	9	7	10	11
39	11	9	7	10	11
40	10	9	7	10	12
41	11	9	7	10	12
42	4	9	7	10	13
43	4	10	13	16	17
44	4	10	13	16	18
45	7	10	13	16	19
46	8	10	13	16	19
47	9	10	13	16	19
48	10	11	10	13	14
49	11	11	10	13	14
50	10	11	10	13	15
51	11	11	10	13	15
52	4	11	10	13	16
53	10	12	10	13	14
54	11	12	10	13	14
55	10	12	10	13	15
56	11	12	10	13	15
57	4	12	10	13	16
58	4	13	16	19	20
59	4	13	16	19	21
60	7	13	16	19	22
61	8	13	16	19	22
62	9	13	16	19	22
63	10	14	13	16	17
64	11	14	13	16	17
65	10	14	13	16	18
66	11	14	13	16	18
67	4	14	13	16	19
68	10	15	13	16	17
69	11	15	13	16	17
70	10	15	13	16	18
71	11	15	13	16	18
72	4	15	13	16	19
73	4	16	19	22	23
74	4	16	19	22	24
